Janr,Nesriyyat,Cild,Muellif,Sehife sayi,Dil,Qiymet
Language Readers,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,6.0
Language Readers,Penguin Books Ltd,Paperback,Ladybird,48,İngilis dili,9.84
Language Readers,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,6.0
Language Readers,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,5.92
Language Readers,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,6.0
Language Readers,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,5.92
Activity Books,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,6.0
Activity Books,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,5.92
Activity Books,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,5.92
Sciences,Usborne Publishing Ltd,Paperback,Kirsteen Robson,448,İngilis dili,38.72
Art History,PRESTEL,Paperback,Brad Finger,144,İngilis dili,23.28
History Of Architecture,PRESTEL,Paperback,"Isabel Kuhl , Kristina Lowis ,  Sabine Thiel-Siling",160,İngilis dili,23.28
Activity Books,HarperCollins Publishers,Hardback,Michael Bond,48,İngilis dili,25.68
Biography,PAVILION BOOKS,Paperback,Dermot Turing,86,İngilis dili,7.4
Art History,Laurence King Publishing,Hardback,Catherine Ingram,40,İngilis dili,23.68
Art History,Laurence King Publishing,Hardback,Wendy Bird,80,İngilis dili,19.52
Art History,Laurence King Publishing,Paperback,Catherine Ingram,80,İngilis dili,12.2
General & World History,Transworld Publishers Ltd,Paperback,Reza Aslan,320,İngilis dili,21.92
People & Places,Laurence King Publishing,Hardback,Isabel Thomas,64,İngilis dili,17.84
People & Places,Laurence King Publishing,Hardback,Isabel Thomas,64,İngilis dili,17.84
Art History,Laurence King Publishing,Hardback,Jorella Andrews,80,İngilis dili,19.52
Art History,Laurence King Publishing,Hardback,Jorella Andrews,80,İngilis dili,19.52
Art History,Laurence King Publishing,Hardback,George Roddam,80,İngilis dili,19.52
Art History,Laurence King Publishing,Hardback,Sara Pappworth,80,İngilis dili,19.52
Science Fiction,HarperCollins Publishers,Paperback,George R. R. Martin,688,İngilis dili,19.84
Fantasy Books,HarperCollins Publishers,Paperback,George R. R. Martin,928,İngilis dili,17.52
Nonfiction History Books for Kids,Usborne Publishing Ltd,Paperback,"Jane Bingham ,Fiona Chandler ,  Sam Taplin",416,İngilis dili,32.24
Popular Science,Dorling Kindersley Ltd,Hardback,Dr. Alice Roberts,528,İngilis dili,63.6
Baby Books,Dorling Kindersley Ltd,Board book,DK,36,İngilis dili,9.84
Baby Books,Dorling Kindersley Ltd,Board book,DK,12,İngilis dili,9.84
Illustration,Random House USA Inc,Paperback,Johanna Basford,10,İngilis dili,25.6
Picture Books,Penguin Books Ltd,Hardback,Ben Rothery,96,İngilis dili,39.52
Graphic Novels,Dorling Kindersley Ltd,Hardback,"Stan Lee , DK,Adam Bray",448,İngilis dili,75.28
Personal Development,Penguin Books Ltd,Hardback,Michelle Obama,208,İngilis dili,35.36
Fantasy Books,HarperCollins Publishers,Hardback,"Wayne G. Hammond , Christina Scull",976,İngilis dili,59.28
Contemporary Fiction,HarperCollins Publishers,Paperback,J. R. R. Tolkien,480,İngilis dili,16.96
Children's Fiction,HarperCollins Publishers,Hardback,Judith Kerr,208,İngilis dili,39.52
Children's Fiction,HarperCollins Publishers,Paperback,Judith Kerr,32,İngilis dili,13.84
Political Science & Theory,SIMON & SCHUSTER,Paperback,Samuel P. Huntington,368,İngilis dili,19.84
Classic Books for Children,Usborne Publishing Ltd,Hardback,Charles Dickens,352,İngilis dili,30.16
Activity Books,Usborne Publishing Ltd,Board book,Susanna Davidson,10,İngilis dili,23.68
Activity Books,Usborne Publishing Ltd,Board book,Anna Milbourne,14,İngilis dili,19.76
Classic Books for Children,Usborne Publishing Ltd,Hardback,Anna Milbourne,304,İngilis dili,30.16
Activity Books,Usborne Publishing Ltd,Hardback,Kirsteen Robson,32,İngilis dili,19.6
Activity Books,Usborne Publishing Ltd,Hardback,Kirsteen Robson,32,İngilis dili,19.6
Classic Books for Children,Usborne Publishing Ltd,Hardback,Fran Parreo,280,İngilis dili,30.16
Children's General Story Books,Simon & Schuster Ltd,Paperback,Jo Nesbo,464,İngilis dili,15.36
Children's Fiction,Usborne Publishing Ltd,Hardback,Alex Frith,280,İngilis dili,30.16
Children's Fiction,Usborne Publishing Ltd,Hardback,"Ruth Brocklehurst ,Gill Doherty",304,İngilis dili,30.16
Activity Books,Usborne Publishing Ltd,Paperback,Lucy Bowman,200,İngilis dili,20.16
Activity Books,Usborne Publishing Ltd,Board book,Fiona Watt,10,İngilis dili,23.68
Children's Fiction,Andersen Press Ltd,Paperback,Katherine Applegate,368,İngilis dili,15.84
Sciences,Walker Books Ltd,Paperback,Alex Bellos  Ben Lyttleton,176,İngilis dili,13.84
Classic Books for Children,Penguin Books Ltd,Hardback,Charles Dickens,144,İngilis dili,21.2
Children's Fiction,Andersen Press Ltd,Hardback,David McKee,32,İngilis dili,25.68
Children's Fiction,Andersen Press Ltd,Hardback,Alex Griffiths,32,İngilis dili,25.68
Animal Stories,Andersen Press Ltd,Hardback,David McKee,152,İngilis dili,29.6
Storybooks,Walker Books Ltd,Paperback,David Ezra Stein,40,İngilis dili,15.84
Fantasy Books for Kids,Penguin Books Ltd,Hardback,"Ellie Wharton , Tamara Macfarlane",80,İngilis dili,17.76
Classic Books for Children,Egmont UK Ltd,Paperback,Michael Morpurgo,208,İngilis dili,15.6
Classic Books for Children,Egmont UK Ltd,Paperback,Enid Blyton,144,İngilis dili,13.84
Early Learning,Penguin Books Ltd,Paperback,Ladybird,48,İngilis dili,9.84
Early Learning,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,5.92
Children's Fiction,Penguin Books Ltd,Paperback,Ladybird,16,İngilis dili,6.0
Activity Books,"Candlewick Press,U.S.",Hardback,Robert Sabuda,12,İngilis dili,49.44
History,Ebury Publishing,Hardback,"Jonny Keeling ,Scott Alexander ,",320,İngilis dili,49.2
Humour Collections & Anthologies,Cornerstone,Hardback,Ripley,256,İngilis dili,39.52
Contemporary Fiction,Bantam,Hardback,George R R Martin,896,İngilis dili,60.16
Children's General Story Books,Andersen Press Ltd,Paperback,Chris Judge,32,İngilis dili,13.84
Adventure Books for Kids,Andersen Press Ltd,Paperback,Alex Gardiner,238,İngilis dili,13.84
Adventure Books for Kids,Andersen Press Ltd,Paperback,Alex Gardiner,240,İngilis dili,13.84
Activity Books,Penguin Books Ltd,Board book,Allison Black,10,İngilis dili,24.0
Activity Books,Walker Books Ltd,Hardback,Robert Sabuda,20,İngilis dili,39.52
Funny Books & Stories,Canongate Books Ltd,Paperback,Matt Haig,160,İngilis dili,16.96
Adventure Books for Kids,HARPER COLLINS,Paperback,David Walliams,464,İngilis dili,27.44
Biography,Laurence King Publishing,Hardback,Isabel Thomas,64,İngilis dili,17.84
Art,Laurence King Publishing,Hardback,Isabel Thomas,64,İngilis dili,17.84
Classic Books for Children,Penguin Books Ltd,Paperback,Charles Dickens,64,İngilis dili,12.11
Horror & Ghost,Quirk Books,Hardback,Ransom Riggs,192,İngilis dili,22.56
Fantasy Books for Kids,Quirk Books,Paperback,Ransom Riggs,464,İngilis dili,25.68
Horror & Ghost,Quirk Books,Paperback,Ransom Riggs,416,İngilis dili,23.68
Adventure Books for Kids,Pan MacMillan,Paperback,Tomi Adeyemi,416,İngilis dili,15.84
Adventure Books for Kids,Egmont UK Ltd,Paperback,Nick Eliopulos,144,İngilis dili,13.12
Children's Fiction,Egmont UK Ltd,Paperback,Michael Morpurgo,192,İngilis dili,15.6
Classic Books for Children,Egmont UK Ltd,Paperback,A. A. Milne,160,İngilis dili,19.04
Contemporary Fiction,Egmont UK Ltd,Paperback,Michael Morpurgo,192,İngilis dili,15.6
First Words,Usborne Publishing Ltd,Hardback,Felicity Brooks,22,İngilis dili,19.76
Storybooks,HarperCollins Publishers,Paperback,David Walliams,40,İngilis dili,13.84
Classic Books for Children,Egmont UK Ltd,Paperback,Lemony Snicket,272,İngilis dili,13.92
Classic Books for Children,Egmont UK Ltd,Paperback,Lemony Snicket,224,İngilis dili,13.92
Popular Philosophy,Ebury Publishing,Hardback,Charlie Mackesy,128,İngilis dili,35.92
Activity Books,HarperCollins Publishers,Spiral bound,Judith Kerr,64,İngilis dili,19.68
Children's Fiction,HarperCollins Publishers,Paperback,Judith Kerr,32,İngilis dili,13.76
Storybooks,HarperCollins Publishers,Board book,Judith Kerr,40,İngilis dili,17.6
Animal Stories,Hachette Children's Group,Paperback,Giles Andreae,32,İngilis dili,15.36
Activity Books,Simon & Schuster Ltd,Hardback,Robert Sabuda,12,İngilis dili,65.76
Classic Books & Novels,Penguin Books Ltd,Paperback,Sir Arthur Conan Doyle,320,İngilis dili,17.68
Fantasy,Penguin Books Ltd,Paperback,C. F. Iggulden,368,İngilis dili,15.76
Business & Management,Penguin Books Ltd,Hardback,"Kris Timmermans ,Chris Roark ,Rodrigo Abdalla",160,İngilis dili,39.36
Quick & Easy Cooking,Penguin Books Ltd,Hardback,Meera Sodha,304,İngilis dili,39.36
Biography,Penguin Books Ltd,Paperback,Anne Frank,352,İngilis dili,16.96
Fantasy Books for Kids,Penguin Books Ltd,Paperback,Philip Pullman,640,İngilis dili,21.2
Business & Management,Orion Publishing Co,Paperback,Adam Grant,384,İngilis dili,19.04
Children's General Story Books,Simon & Schuster Ltd,Paperback,Rachel Renee Russell,288,İngilis dili,15.36
Children's Fiction,Simon & Schuster Ltd,Paperback,Rachel Renee Russell,304,İngilis dili,15.36
Children's General Story Books,Simon & Schuster Ltd,Paperback,Jo Nesbo,320,İngilis dili,15.36
Biography,Orion Publishing Co,Paperback,Malala Yousafzai,224,İngilis dili,27.52
Activity Books,Dorling Kindersley Ltd,Paperback,DK,72,İngilis dili,16.96
Children's General Story Books,Simon & Schuster Ltd,Paperback,Rachel Renee Russell,256,İngilis dili,15.36
Contemporary Fiction,Penguin,Hardback,Myles Mcnutt,288,İngilis dili,39.36
Classics,Penguin,Paperback,Jonathan Swift,352,İngilis dili,5.84
Science,Profile Books Ltd,Paperback,Ian Stewart,352,İngilis dili,19.2
Finance,Profile Books Ltd,Paperback,Marc Levinson,304,İngilis dili,31.76
Business & Management,Profile Books Ltd,Paperback,Robert Greene,352,İngilis dili,34.56
Business & Management,Profile Books Ltd,Paperback,Robert Greene,624,İngilis dili,34.56
Business & Management,Profile Books Ltd,Paperback,Paul Roberts,384,İngilis dili,28.8
Business & Management,Profile Books Ltd,Paperback,John Tennent,416,İngilis dili,28.8
Biography,Penguin Books Ltd,Paperback,Ramachandra Guha,1152,İngilis dili,33.44
Activity Books,Penguin Books Ltd,Board book,Lemon Ribbon Studio,10,İngilis dili,11.84
Activity Books,Penguin Books Ltd,Board book,Lemon Ribbon Studio,10,İngilis dili,11.84
Picture Books,Flying Eye Books,Paperback,Ella Bailey,32,İngilis dili,13.76
Business & Management,Simon & Schuster Ltd,Paperback,Dale Carnegie Training,256,İngilis dili,21.92
Activity Books,Sassi,Hardback,Ester Tome,10,İngilis dili,33.2
Activity Books,Sassi,Hardback,Ester Tome,10,İngilis dili,36.0
Health Books,Quercus Publishing,Paperback,Ken Mogi,208,İngilis dili,18.88
Contemporary Fiction,Penguin Books Ltd,Paperback,Jess Walter,352,İngilis dili,17.68
Children's General Story Books,Cornerstone,Paperback,James Patterson,368,İngilis dili,13.76
Children's General Story Books,Simon & Schuster Ltd,Paperback,Rachel Renee Russell,576,İngilis dili,19.68
Memoirs,Ebury Publishing,Paperback,Sir Richard Branson,544,İngilis dili,12.65
Psychology,Cornerstone,Paperback,Daniel Coyle,256,İngilis dili,17.68
Management,Ebury Publishing,Paperback,Dale Carnegie,304,İngilis dili,21.12
Psychology,Ebury Publishing,Hardback,Dr Spencer Johnson,96,İngilis dili,19.76
Contemporary Fiction,Penguin Books Ltd,Paperback,Edith Wharton,176,İngilis dili,17.68
Film Scripts & Screenplays,Penguin Books Ltd,Paperback,Nick Hornby,144,İngilis dili,15.76
"Ecological Science, The Biosphere",Penguin Books Ltd,Hardback,James Lovelock,160,İngilis dili,29.52
Animal Stories,Hachette Children's Group,Paperback,Jess Butterworth,288,İngilis dili,13.76
Baby Books,Hachette Children's Group,Board book,Pat-A-Cake,10,İngilis dili,18.0
Classic Books for Children,Hachette Children's Group,Paperback,Enid Blyton,384,İngilis dili,14.8
Classic Books for Children,Hachette Children's Group,Paperback,Enid Blyton,336,İngilis dili,14.8
Children's Fiction,Hachette Children's Group,Paperback,Onjali Q. Rauf,256,İngilis dili,15.84
Baby Books,Hachette Children's Group,Board book,Pat-A-Cake,10,İngilis dili,18.0
Children's books,Hachette Children's Group,Board book,Pat-A-Cake,10,İngilis dili,12.0
Children's books,Simon & Schuster Ltd,Paperback,Rachel Renee Russell,672,İngilis dili,17.52
Children's books,Simon & Schuster Ltd,Paperback,Rachel Renee Russell,624,İngilis dili,17.52
Biography,Transworld Publishers Ltd,Paperback,Stephen Hawking,144,İngilis dili,20.16
Management,Simon & Schuster Ltd,Paperback,Dale Carnegie,256,İngilis dili,21.92
Children's books,Simon & Schuster Ltd,Paperback,Rachel Renee Russell,672,İngilis dili,17.68
Children's books,Dorling Kindersley Ltd,Hardback,Claire Summerscale,72,İngilis dili,21.52
Football / Soccer,Dorling Kindersley Ltd,Hardback,DK,144,İngilis dili,25.76
History,Profile Books Ltd,Paperback,Jerry Toner,224,İngilis dili,19.04
Comparative Politics,Profile Books Ltd,Paperback,Francis Fukuyama,608,İngilis dili,24.96
Business & Management,Profile Books Ltd,Paperback,Robert Greene,208,İngilis dili,19.04
Science,Dorling Kindersley Ltd,Hardback,DK,256,İngilis dili,36.0
Contemporary Fiction,Vintage Publishing,Paperback,Haruki Murakami,304,İngilis dili,21.2
Children's Fiction,Cornerstone,Paperback,James Patterson,352,İngilis dili,15.12
Food & Drink,Dorling Kindersley Ltd,Hardback,Linda Gaylard,224,İngilis dili,32.24
Memoirs,Penguin Books Ltd,Hardback,Clare Pollard,304,İngilis dili,29.52
Popular Culture,Penguin Books Ltd,Paperback,Peter Biskind,272,İngilis dili,19.68
Activity Books,Penguin Books Ltd,Paperback,Eric Carle,24,İngilis dili,11.84
History,Penguin Books Ltd,Paperback,Svetlana Alexievich,320,İngilis dili,25.6
Popular Psychology,Penguin Books Ltd,Hardback,Bruce Hood,224,İngilis dili,39.36
Activity Books,Dorling Kindersley Ltd,Board book,DK,14,İngilis dili,13.76
Fantasy Books for Kids,Penguin Books Ltd,Paperback,Ransom Riggs,496,İngilis dili,19.04
Anthologies,Penguin Books Ltd,Hardback,Mike Unwin,96,İngilis dili,28.08
Biography,"Little, Brown Book Group",Paperback,Walter Isaacson,592,İngilis dili,28.0
Fantasy Books for Kids,Hachette Children's Group,Paperback,Jessica Townsend,384,İngilis dili,13.92
Fantasy Books for Kids,Hachette Children's Group,Paperback,Jessica Townsend,384,İngilis dili,13.92
Contemporary Fiction,"Little, Brown Book Group",Paperback,Gregory David Roberts,560,İngilis dili,22.0
Popular Science,Orion Publishing Co,Paperback,Adam Rutherford,432,İngilis dili,20.96
Fantasy,Orion Publishing Co,Paperback,Patrick Rothfuss,672,İngilis dili,21.2
Contemporary Fiction,Ebury Publishing,Paperback,Rowan Coleman,464,İngilis dili,15.76
Children's Fiction,Random House Children's Publishers UK,Paperback,"Lucy Hawking , Stephen Hawking",336,İngilis dili,12.88
Popular Psychology,Ebury Publishing,Paperback,"Preethaji , Krishnaji",192,İngilis dili,25.6
Fantasy Books for Kids,Random House Children's Publishers UK,Paperback,"Paul Stewart , Chris Riddell",496,İngilis dili,15.76
Biography,Transworld Publishers Ltd,Paperback,Jean Sasson,368,İngilis dili,15.76
Business & Management,Ebury Publishing,Paperback,Edward de Bono,240,İngilis dili,25.6
Fantasy Books for Kids,Bloomsbury Publishing PLC,Hardback,J. K. Rowling,3872,İngilis dili,136.0
Activity Books,Penguin Books Ltd,Hardback,Allison Black,8,İngilis dili,11.12
Activity Books,Penguin Books Ltd,Paperback,Top Wing,64,İngilis dili,15.76
Baby Books,Dorling Kindersley Ltd,Hardback,DK,12,İngilis dili,9.84
Early Learning,Dorling Kindersley Ltd,Hardback,DK,12,İngilis dili,14.8
Nonfiction History Books for Kids,Dorling Kindersley Ltd,Hardback,DK,144,İngilis dili,30.0
Business & Management,Cornerstone,Paperback,"Jeff Sutherland , J.j. Sutherland",256,İngilis dili,21.52
Careers Guidance,Ebury Publishing,Paperback,"Elena Botelho , Kim Powell ,Tahl Raz",288,İngilis dili,37.28
Storybooks,HarperCollins Publishers,Paperback,Judith Kerr,32,İngilis dili,13.68
Animal Stories,HarperCollins Publishers,Paperback,Judith Kerr,32,İngilis dili,13.76
Children's Fiction,HarperCollins Publishers,Paperback,Judith Kerr,32,İngilis dili,13.68
Children's Fiction,HarperCollins Publishers,Paperback,Judith Kerr,32,İngilis dili,13.76
Early Learning,HarperCollins Publishers,Paperback,Dr. Seuss,32,İngilis dili,11.84
Baby Books,HarperCollins Publishers,Hardback,Judith Kerr,10,İngilis dili,9.84
Business & Management,Profile Books Ltd,Paperback,"Al Ries ,  Jack Trout",160,İngilis dili,21.2
History,Profile Books Ltd,Hardback,David Olusoga,304,İngilis dili,18.45
Personal Finance,Profile Books Ltd,Paperback,Peter Stanyer,352,İngilis dili,31.76
Business & Management,Profile Books Ltd,Paperback,Richard Davies,304,İngilis dili,28.8
Business & Management,Profile Books Ltd,Paperback,Jeremy Kourdi,320,İngilis dili,28.8
Business & Management,Penguin Books Ltd,Paperback,Seth Godin,160,İngilis dili,22.4
International Economics,Penguin Books Ltd,Paperback,James Rickards,352,İngilis dili,27.68
Economic History,Penguin Books Ltd,Paperback,Joseph Stiglitz,512,İngilis dili,19.76
Animal Stories,HarperCollins Publishers,Hardback,Michael Morpurgo,144,İngilis dili,19.68
Children's Fiction,HarperCollins Publishers,Hardback,Judith Kerr,80,İngilis dili,25.6
"Biology, Life Sciences",Dorling Kindersley Ltd,Hardback,DK,352,İngilis dili,42.4
Contemporary Fiction,Vintage Publishing,Paperback,Aldous Huxley,288,İngilis dili,7.68
Business & Management,Cornerstone,Hardback,"Jim Collins ,Morten T. Hansen",320,İngilis dili,32.24
Contemporary Fiction,Quercus Publishing,Paperback,Rosanna Ley,496,İngilis dili,15.76
Contemporary Fiction,Penguin Books Ltd,Paperback,Philip Hensher,432,İngilis dili,19.68
Mystery Books for Kids,Penguin Books Ltd,Paperback,Robin Stevens,400,İngilis dili,16.96
Activity Books,Dorling Kindersley Ltd,Hardback,DK,12,İngilis dili,14.16
Anthologies (non-poetry),Penguin Books Ltd,Hardback,Anonymous,528,İngilis dili,37.36
Classic Books & Novels,Penguin Books Ltd,Hardback,Leo Tolstoy,864,İngilis dili,39.36
Activity Books,Hachette Children's Group,Hardback,Pat-A-Cake,18,İngilis dili,11.84
Business & Management,Penguin Books Ltd,Paperback,Rana Foroohar,368,İngilis dili,29.52
"Mind, Body & Spirit",Simon & Schuster Ltd,Paperback,Rhonda Byrne,272,İngilis dili,28.0
Popular Culture,Octopus Publishing Group,Paperback,Robert Dimery,960,İngilis dili,39.04
Art,Hachette Children's Group,Paperback,Georgia Amson-Bradshaw,48,İngilis dili,19.68
Science,Dorling Kindersley Ltd,Hardback,DK,304,İngilis dili,42.4
Storybooks,Penguin Books Ltd,Hardback,Paul McCartney,32,İngilis dili,25.6
History,Penguin Books Ltd,Hardback,Brendan Simms,704,İngilis dili,59.04
History,Penguin Books Ltd,Hardback,Mark B. Smith,480,İngilis dili,49.2
History,Penguin Books Ltd,Paperback,Julian Jackson,944,İngilis dili,20.9
Animal Stories,Hachette Children's Group,Paperback,Rachel Bright,32,İngilis dili,13.68
Animal Stories,Hachette Children's Group,Paperback,Sue Graves,32,İngilis dili,13.76
Animal Stories,Hachette Children's Group,Paperback,Sue Graves,32,İngilis dili,13.76
Children's books,Hachette Children's Group,Paperback,Paul Mason,32,İngilis dili,17.68
Animal Stories,Hachette Children's Group,Paperback,Sue Graves,32,İngilis dili,13.76
Animal Stories,Hachette Children's Group,Paperback,Sue Graves,32,İngilis dili,13.76
Adventure Books for Kids,Hachette Children's Group,Paperback,Enid Blyton,320,İngilis dili,14.8
Baby books,Hachette Children's Group,Hardback,Pat-A-Cake,10,İngilis dili,11.76
Children's Fiction,Penguin Books Ltd,Paperback,Tove Jansson,32,İngilis dili,15.68
"Social Forecasting, Future Studies",Penguin Books Ltd,Hardback,Stuart Russell,352,İngilis dili,30.75
"Folklore, Myths & Legends",Templar Publishing,Hardback,Katie Haworth,12,İngilis dili,29.52
Business & Management,Ebury Publishing,Paperback,Napoleon Hill,272,İngilis dili,25.6
Personal Finance,Ebury Publishing,Paperback,Napoleon Hill,224,İngilis dili,22.0
Health Books,Penguin Books Ltd,Hardback,Jamie Oliver,312,İngilis dili,51.2
Contemporary Fiction,Penguin Books Ltd,Paperback,Jonathan Coe,432,İngilis dili,17.68
Personal Development,Penguin Books Ltd,Paperback,James Reed,304,İngilis dili,21.52
Romance,Penguin Books Ltd,Paperback,Malorie Blackman,432,İngilis dili,15.76
Crime Fiction,Penguin Books Ltd,Paperback,Gregg Hurwitz,512,İngilis dili,15.76
Popular Science,Dorling Kindersley Ltd,Hardback,Robert Winston,160,İngilis dili,27.52
Baby Books,Dorling Kindersley Ltd,Hardback,DK,12,İngilis dili,10.96
Contemporary Fiction,Vintage Publishing,Paperback,Haruki Murakami,400,İngilis dili,19.2
Science,Dorling Kindersley Ltd,Hardback,"Charlotte Ager,Wil Mara",128,İngilis dili,12.72
Business & Management,Cornerstone,Paperback,Tara Mohr,304,İngilis dili,19.68
Popular Psychology,Cornerstone,Paperback,"Dan Heath, Chip Heath",336,İngilis dili,17.68
Small Businesses & Self-employed,Cornerstone,Paperback,"Reid Hoffman,Ben Casnocha",272,İngilis dili,19.68
Psychology,Ebury Publishing,Paperback,Dale Carnegie,400,İngilis dili,23.68
Books for Children,Hachette Children's Group,Hardback,Giles Andreae,14,İngilis dili,21.68
Books for Children,Hachette Children's Group,Hardback,Hans Christian Andersen,16,İngilis dili,25.6
Classic Books,Vintage Publishing,Paperback,Margaret Atwood,320,İngilis dili,15.12
Classic Books,Cornerstone,Paperback,Harper Lee,320,İngilis dili,17.28
Books for Kids,Penguin Books Ltd,Paperback,Roald Dahl,400,İngilis dili,24.96
Books for Kids,Penguin Books Ltd,Paperback,Roald Dahl,240,İngilis dili,15.36
Romance,Penguin Books Ltd,Paperback,John Green,368,İngilis dili,15.6
Books for Kids,Penguin Books Ltd,Paperback,Roald Dahl,80,İngilis dili,11.52
Books for Kids,Penguin Books Ltd,Paperback,Roald Dahl,224,İngilis dili,13.44
Books for Kids,Penguin Books Ltd,Paperback,Roald Dahl,112,İngilis dili,13.44
Philosophy Of Mind,Penguin Books Ltd,Paperback,Michael Acton Smith,240,İngilis dili,19.52
History,Vintage Publishing,Paperback,Yuval Noah Harari,432,İngilis dili,23.68
Religious Books,Vintage Publishing,Paperback,Karen Armstrong,128,İngilis dili,7.68
Popular Science,Penguin Books Ltd,Hardback,Anthony Aguirre,400,İngilis dili,36.96
Fantasy Books for Kids,Penguin Books Ltd,Paperback,Philip Pullman,704,İngilis dili,27.76
Books for Kids,Penguin Books Ltd,Hardback,Eric Carle,12,İngilis dili,14.8
Books for Kids,HarperCollins Publishers,Paperback,Judith Kerr,32,İngilis dili,12.96
Books for Kids,Penguin Books Ltd,Paperback,Top Wing,16,İngilis dili,7.36
Children's Fiction,HarperCollins Publishers,Paperback,P. L. Travers,192,İngilis dili,13.6
Books for Kids,HarperCollins Publishers,Hardback,Judith Kerr,14,İngilis dili,36.96
Books for Kids,HarperCollins Publishers,Paperback,Dr. Seuss,320,İngilis dili,42.4
Books for Kids,Penguin Books Ltd,Paperback,Michael Morpurgo,160,İngilis dili,12.96
History Of Religion,Penguin Books Ltd,Paperback,Neil MacGregor,432,İngilis dili,28.56
Business,HarperCollins Publishers,Paperback,Robin Sharma,256,İngilis dili,14.72
Contemporary Fiction,Vintage Publishing,Paperback,Haruki Murakami,704,İngilis dili,22.0
Animal Stories,HarperCollins Publishers,Paperback,Judith Kerr,24,İngilis dili,14.8
Animal Stories,HarperCollins Publishers,Paperback,Judith Kerr,32,İngilis dili,12.96
Animal Stories,HarperCollins Publishers,Paperback,Dr. Seuss,64,İngilis dili,16.96
Business,Penguin Books Ltd,Paperback,Shaa Wasmund,160,İngilis dili,24.0
Crime,Cornerstone,Paperback,Anthony Horowitz,400,İngilis dili,16.64
Business,Penguin Books Ltd,Paperback,Robert Iger,272,İngilis dili,31.44
Psychology,Penguin Books Ltd,Paperback,Stephen Martin,336,İngilis dili,29.6
Children's Books,Penguin Books Ltd,Hardback,Beatrix Potter,12,İngilis dili,18.48
Children's Books,Penguin Books Ltd,Hardback,Beatrix Potter,48,İngilis dili,24.0
Children's Books,Penguin Books Ltd,Paperback,Jill Murphy,112,İngilis dili,16.96
Thriller,Penguin Books Ltd,Paperback,Chris Bradford,384,İngilis dili,12.88
Children's Books,Penguin Books Ltd,Paperback,Alexandre Dumas,554,İngilis dili,15.04
Psychology,Penguin Books Ltd,Paperback,Jonathan Safran Foer,288,İngilis dili,31.36
Autobiography,Penguin Books Ltd,Paperback,M. K. Gandhi,480,İngilis dili,18.48
Contemporary Fiction,Harper Collins,Paperback,Paulo Coelho,177,İngilis dili,15.68
Children's Books,Penguin Books Ltd,Hardback,Eric Carle,22,İngilis dili,40.64
Crime Fiction,Cornerstone,Paperback,"President Bill Clinton ,James Patterson",528,İngilis dili,16.64
Crime Fiction,Cornerstone,Paperback,Araminta Hall,368,İngilis dili,14.8
Science,Templar Publishing,Hardback,Colin Stuart,80,İngilis dili,31.52
Early Learning,Templar Publishing,Hardback,Joanna McInerney,10,İngilis dili,18.48
Activity Books,Templar Publishing,Board book,Joanna McInerney,10,İngilis dili,18.48
Contemporary Fiction,Vintage Publishing,Paperback,Louis de Bernieres,288,İngilis dili,16.64
Children's Fiction,Andersen Press Ltd,Paperback,Michael Morpurgo,32,İngilis dili,12.88
Business & Management,Harvard Business Review Press,Paperback,"Bill George ,Herminia Ibarra ,Rob Goffee ,Gareth Jones",160,İngilis dili,31.36
Contemporary Fiction,Ebury Publishing,Paperback,Antonio Iturbe,432,İngilis dili,22.08
Health Books,Pan MacMillan,Hardback,"Kay Featherstone ,Kate Allinson",272,İngilis dili,14.8
Children's Fiction,Pan MacMillan,Paperback,Chris Hadfield,48,İngilis dili,12.88
Classic Books for Children,Pan MacMillan,Hardback,"Alex Haridi ,Tove Jansson ,Cecilia Davidsson",96,İngilis dili,24.0
Activity Books,Pan MacMillan,Board book,Campbell Books,10,İngilis dili,12.88
Activity Books,Pan MacMillan,Board book,Campbell Books,10,İngilis dili,12.88
Activity Books,Pan MacMillan,Board book,Campbell Books,10,İngilis dili,21.6
Contemporary Fiction,Pan MacMillan,Paperback,David Baldacci,576,İngilis dili,16.64
Children's Fiction,Pan MacMillan,Paperback,Emily Gravett,32,İngilis dili,12.88
Children's Fiction,Pan MacMillan,Hardback,Morag Hood,32,İngilis dili,22.16
Children's Books,Pan MacMillan,Paperback,Polly Dunbar,32,İngilis dili,12.88
Thriller Books,Pan MacMillan,Paperback,Peter James,704,İngilis dili,11.28
Children's Fiction,Hachette Children's Group,Paperback,Enid Blyton,336,İngilis dili,14.8
Business & Management,Harvard Business Review Press,Paperback,"Clayton M. Christensen, Theordore Levitt , Philip Kotler, Fred Reichheld",224,İngilis dili,32.64
Classic Books & Novels,Penguin Books Ltd,Hardback,Charles Dickens,72,İngilis dili,8.88
Popular Psychology,Ebury Publishing,Paperback,"Sheryl Sandberg,Adam Grant",240,İngilis dili,18.48
